Title;Dept_Num;Level;Prof;Topics;URL;;;
Introduction to Computers and Engineering Problem Solving;1.00;Graduate;Dr. Christopher Cassa;Engineering|Computer Science|Systems Engineering;https://ocw.mit.edu/courses/1-00-introduction-to-computers-and-engineering-problem-solving-spring-2012/;;;
Uncertainty in Engineering;1.010;Undergraduate;Prof. Daniele Veneziano;Engineering|Mathematics|Probability and Statistics;https://ocw.mit.edu/courses/1-010-uncertainty-in-engineering-fall-2008/;;;
Project Evaluation;1.011;Undergraduate;Prof. Joseph Sussman;Engineering|Economics|Social Science;https://ocw.mit.edu/courses/1-011-project-evaluation-spring-2011/;;;
Introduction to Civil Engineering Design;1.012;Undergraduate;Prof. Herbert Einstein;Engineering|Civil Engineering|Construction Management;https://ocw.mit.edu/courses/1-012-introduction-to-civil-engineering-design-spring-2002/;;;
Computing and Data Analysis for Environmental Applications;1.017;Undergraduate;Prof. Dennis McLaughlin;Engineering|Computer Science|Mathematics;https://ocw.mit.edu/courses/1-017-computing-and-data-analysis-for-environmental-applications-fall-2003/;;;
Ecology I: The Earth System;1.018;Undergraduate;Prof. Penny Chisholm;Science|Earth Science|Biology;https://ocw.mit.edu/courses/1-018j-ecology-i-the-earth-system-fall-2009/;;;
Ecology II: Engineering for Sustainability;1.020;Undergraduate;Prof. Dennis McLaughlin;Engineering|Science|Earth Science;https://ocw.mit.edu/courses/1-020-ecology-ii-engineering-for-sustainability-spring-2008/;;;
Introduction to Network Models;1.022;Undergraduate;Dr. Amir Ajorlou;Engineering|Systems Engineering|Computational Modeling and Simulation;https://ocw.mit.edu/courses/1-022-introduction-to-network-models-fall-2018/;;;
Mechanics of Material Systems: An Energy Approach;1.033;Undergraduate;Prof. Franz-Josef Ulm;Engineering|Science|Physics;https://ocw.mit.edu/courses/1-033-mechanics-of-material-systems-an-energy-approach-fall-2003/;;;
Project Management;1.040;Undergraduate;Dr. Nathaniel Osgood;Engineering|Business|Civil Engineering;https://ocw.mit.edu/courses/1-040-project-management-spring-2004/;;;
