CourseTitle;PaperTitle;Year;Venue;URL
Introduction to Computers and Engineering Problem Solving;Problem-solving with personal computers;1998;Introduction to Physical Chemistry;https://doi.org/10.1017/cbo9781139170925.014
Introduction to Computers and Engineering Problem Solving;Computers In Engineering;2001;Engineering Problem Solving;https://doi.org/10.1016/b978-081551447-3.50016-9
Introduction to Computers and Engineering Problem Solving;Introduction;2007;Computational Physics;https://doi.org/10.1002/9783527618835.ch1
Introduction to Computers and Engineering Problem Solving;Introduction to Problem Solving;2024;Engineering Technology Problem Solving;https://doi.org/10.1201/9781003573814-1
Uncertainty in Engineering;Uncertainty Analysis of Engineering Systems;2025;Risk and Uncertainty for Civil Engineering;https://doi.org/10.1201/9781032700373-5
Uncertainty in Engineering;Uncertainty in Measurement; ;Springer Series in Reliability Engineering;https://doi.org/10.1007/978-0-387-46328-5_1
Uncertainty in Engineering;Fuzzy Variables and Measurement Uncertainty; ;Springer Series in Reliability Engineering;https://doi.org/10.1007/978-0-387-46328-5_2
Uncertainty in Engineering;Uncertainty Measures;2006;Uncertainty Modeling and Analysis in Engineering and the Sciences;https://doi.org/10.1201/9781420011456-8
Uncertainty in Engineering;Visualization of Uncertainty;2006;Uncertainty Modeling and Analysis in Engineering and the Sciences;https://doi.org/10.1201/9781420011456-12
Project Evaluation;Project Evaluation Management;2018;The Basics of Project Evaluation and Lessons Learned;https://doi.org/10.1201/b17345-13
Project Evaluation;Impact evaluation of the National Rural Livelihoods Project;2020; ;https://doi.org/10.23846/b/ie/202013
Project Evaluation;Survey of Literature on Cost-Benefit Analysis for Industrial Project Evaluation;1972;Project Evaluation;https://doi.org/10.1007/978-1-349-01653-2_2
Project Evaluation;Evaluation Report for Q2Work Project ;2024; ;https://doi.org/10.51420/report.2024.1
Project Evaluation;PROJECT EVALUATION AND REVIEW TECHNIQUE; ;SpringerReference;https://doi.org/10.1007/springerreference_7102
Introduction to Civil Engineering Design;Concrete Mix Design;2020;Civil Engineering Materials;https://doi.org/10.1201/9780429275111-4
Introduction to Civil Engineering Design;Asphalt Mix Design;2020;Civil Engineering Materials;https://doi.org/10.1201/9780429275111-7
Introduction to Civil Engineering Design;Civil Engineering Design; ; ;https://doi.org/10.1002/(issn)2625-073x
Introduction to Civil Engineering Design;Introduction to Sub-Branches of Civil Engineering Fields through a Creative Freshmen Civil Engineering Design Course; ;2015 ASEE Annual Conference and Exposition Proceedings;https://doi.org/10.18260/p.24372
Introduction to Civil Engineering Design;Introduction;2023;Experiment Design for Civil Engineering;https://doi.org/10.1201/9781003346685-1
Computing and Data Analysis for Environmental Applications;Intelligent Data Analysis in Environmental Sampling;2005;2005 IEEE Intelligent Data Acquisition and Advanced Computing Systems: Technology and Applications;https://doi.org/10.1109/idaacs.2005.283056
Computing and Data Analysis for Environmental Applications;Big Data Analysis and Machine Learning for Green Computing;2021;Big Data Analysis for Green Computing;https://doi.org/10.1201/9781003032328-7
Computing and Data Analysis for Environmental Applications;The Rise of Big Data on Cloud Computing;2021;Big Data Analysis for Green Computing;https://doi.org/10.1201/9781003032328-3
Computing and Data Analysis for Environmental Applications;Big Data Analysis in Cloud Using Machine Learning;2018;Advances in Parallel Computing;https://doi.org/10.3233/978-1-61499-814-3-107
Computing and Data Analysis for Environmental Applications;8 Data envelopment analysis;2023;Environmental Data Analysis;https://doi.org/10.1515/9783111012681-008
Ecology I: The Earth System;Ecology and the Earth System;1998;Earth System Analysis;https://doi.org/10.1007/978-3-642-52354-0_5
Ecology I: The Earth System;Commentary on Ecology and the Earth System;1998;Earth System Analysis;https://doi.org/10.1007/978-3-642-52354-0_6
Ecology I: The Earth System;INTRODUCTION:;2015;Earth Life and System;https://doi.org/10.2307/j.ctt16f8c7f.5
Ecology I: The Earth System;Introduction: Earth Life and System;2020;Earth Life and System;https://doi.org/10.1515/9780823265275-003
Ecology I: The Earth System;Color plates;2015;Earth Life and System;https://doi.org/10.2307/j.ctt16f8c7f.14
Ecology II: Engineering for Sustainability;System dynamics II: feedback;2014;Understanding Human Ecology;https://doi.org/10.4324/9780203109557-18
Ecology II: Engineering for Sustainability;Integrating small island sustainability;2012;WIT Transactions on Ecology and The Environment;https://doi.org/10.2495/islands120091
Ecology II: Engineering for Sustainability;Industrial Ecology and Sustainable Engineering Concepts;2023;Industrial Ecology and Sustainability;https://doi.org/10.1142/9789811277610_0004
Ecology II: Engineering for Sustainability;Island Sustainability II;2012;WIT Transactions on Ecology and The Environment;https://doi.org/10.2495/islands12
Ecology II: Engineering for Sustainability;Energy and Sustainability II;2009;WIT Transactions on Ecology and the Environment;https://doi.org/10.2495/esu09
Introduction to Network Models;Network Models;2015;Introduction to Computational Models with Python;https://doi.org/10.1201/b18861-33
Introduction to Network Models;INTRODUCTION;2023;Longitudinal Network Models;https://doi.org/10.4135/9781071938904.n1
Introduction to Network Models;Background and motivation for the introduction of network models;2012;Introduction to the Network Approximation Method for Materials Modeling;https://doi.org/10.1017/cbo9781139235952.003
Introduction to Network Models;Network Models;2014;Social Media Mining;https://doi.org/10.1017/cbo9781139088510.005
Introduction to Network Models;Introduction to Mental disorders network models and dynamical systems;2017;Oxford Medicine Online;https://doi.org/10.1093/med/9780198796022.003.0010
Mechanics of Material Systems: An Energy Approach;Energy Approach to Material Hardness Determination;2015;Applied Mechanics and Materials;https://doi.org/10.4028/www.scientific.net/amm.788.170
Mechanics of Material Systems: An Energy Approach;Symbolic Algebra Approach to Composite Materials Analysis;1992;Local Mechanics Concepts for Composite Material Systems;https://doi.org/10.1007/978-3-642-84792-9_19
Mechanics of Material Systems: An Energy Approach;Entropy-Oriented Mechanics (EOM): Order-Energy Co-Optimization for Multi-State Material Systems;2025; ;https://doi.org/10.2139/ssrn.5592550
Mechanics of Material Systems: An Energy Approach;Experimental Mechanics for Prognosis of Material State Changes in Heterogeneous Materials for Energy Systems;2025;Experimental Mechanics on Emerging Energy Systems and Materials Volume 5;https://doi.org/10.1007/978-1-4419-9798-2_1
Project Management;Project management: Project Management;2023; ;https://doi.org/10.12737/1859087
Project Management;Project management; ; ;https://doi.org/10.3403/01970881
Project Management;Project management; ; ;https://doi.org/10.3403/01970881
Project Management;Project management; ; ;https://doi.org/10.3403/02575754
Project Management;Establishing a project organization and a project-management process for telecommunications project management;1995;International Journal of Project Management;https://doi.org/10.1016/0263-7863(95)95700-n
Solid Mechanics;Introduction to Solid Mechanics;2025;An Introduction to Solid Mechanics;https://doi.org/10.1017/9781009479219.002
Solid Mechanics;Solid Mechanics;1992;Solid Mechanics and Its Applications;https://doi.org/10.1007/978-94-015-8026-7
Solid Mechanics;Solid mechanics at finite strains;2012;Nonlinear Solid Mechanics;https://doi.org/10.1017/cbo9781139178938.005
Solid Mechanics;Iutam Symposium Advanced Optical Methods and Applications in Solid Mechanics; ;Solid Mechanics and its Applications;https://doi.org/10.1007/0-306-46948-0_68
Solid Mechanics;Foundations of Solid Mechanics;1991;Solid Mechanics and Its Applications;https://doi.org/10.1007/978-94-011-3814-7
Engineering Mechanics I;Engineering mechanics; ; ;https://doi.org/10.58225/engineeringmechanics
Engineering Mechanics I;Probabilistic engineering mechanics;1993;Probabilistic Engineering Mechanics;https://doi.org/10.1016/0266-8920(93)90032-q
Engineering Mechanics I;Probabilistic engineering mechanics;1996;Probabilistic Engineering Mechanics;https://doi.org/10.1016/s0266-8920(96)90002-8
Engineering Mechanics I;WITHDRAWN: Engineering Fracture Mechanics Special Issue—Mechanics of Fracture and Failure in Geomaterials;2002;Engineering Fracture Mechanics;https://doi.org/10.1016/s0013-7944(02)00060-7
Engineering Mechanics I;Structural mechanics;1979;Engineering Fracture Mechanics;https://doi.org/10.1016/0013-7944(79)90085-7
Structural Engineering Design;Empirical design in structural engineering;2023;Empirical Design in Structural Engineering;https://doi.org/10.1680/edse.66335.001
Structural Engineering Design;Structural Fire Engineering Design;2024;Structural Design of Buildings: Holistic Design;https://doi.org/10.1680/978-1-83549-560-520241010
Structural Engineering Design;Structural fire engineering design;2011;Structural Fire Engineering;https://doi.org/10.1680/sfe.41417.039
Structural Engineering Design;Structural reliability and structural design;1984;Probabilistic Methods in Structural Engineering;https://doi.org/10.1201/9781482267457-13
Structural Engineering Design;Reliability-Based Structural Design;2005;Handbook of Structural Engineering;https://doi.org/10.1201/9781420039931-18
Mechanics and Design of Concrete Structures;Part 20: Concrete structures concrete design;2013;Research and Applications in Structural Engineering Mechanics and Computation;https://doi.org/10.1201/b15963-270
Mechanics and Design of Concrete Structures;Response of Plain and Reinforced Concrete Structures Under Cyclic Loadings;1992;SP-134: Concrete Design Based on Fracture Mechanics;https://doi.org/10.14359/2710
Mechanics and Design of Concrete Structures;Fracture mechanics based design of reinforced concrete beams-An analytical study;2019;Proceedings of the 10th International Conference on Fracture Mechanics of Concrete and Concrete Structures;https://doi.org/10.21012/fc10.244962
Mechanics and Design of Concrete Structures;Strut efficiency factors in design of reinforced concrete deep beams;2019;Proceedings of the 10th International Conference on Fracture Mechanics of Concrete and Concrete Structures;https://doi.org/10.21012/fc10.235531
Mechanics and Design of Concrete Structures;Simplified Design Approach of Steel Fiber Reinforced Concrete Under Flexural Load;2019;Proceedings of the 10th International Conference on Fracture Mechanics of Concrete and Concrete Structures;https://doi.org/10.21012/fc10.234838
Engineering Mechanics II;Probabilistic engineering mechanics;1996;Probabilistic Engineering Mechanics;https://doi.org/10.1016/s0266-8920(96)90002-8
Engineering Mechanics II;Preface;2025;Engineering Mechanics;https://doi.org/10.21495/em2025-i
Engineering Mechanics II;Editorial Board;2019;Probabilistic Engineering Mechanics;https://doi.org/10.1016/s0266-8920(19)30089-x
Engineering Mechanics II;Editorial Board;2018;Probabilistic Engineering Mechanics;https://doi.org/10.1016/s0266-8920(18)30177-2
Engineering Mechanics II;Editorial Board;2018;Engineering Fracture Mechanics;https://doi.org/10.1016/s0013-7944(18)30554-x
Transport Processes in the Environment;Canopy Transport Processes;1988;Flow and Transport in the Natural Environment: Advances and Applications;https://doi.org/10.1007/978-3-642-73845-6_7
Transport Processes in the Environment;Canopy Transport Processes: Commentary;1988;Flow and Transport in the Natural Environment: Advances and Applications;https://doi.org/10.1007/978-3-642-73845-6_8
Transport Processes in the Environment;SCALING | Transport Processes;2005;Encyclopedia of Soils in the Environment;https://doi.org/10.1016/b0-12-348530-4/00570-1
Transport Processes in the Environment;Phosphorus Transport in Streams: Processes and Modeling Considerations;2006;Modeling Phosphorus in the Environment;https://doi.org/10.1201/9781420005417-11
Introduction to Civil and Environmental Engineering Design I;Design of Settling System: An Introduction;2017;Springer Transactions in Civil and Environmental Engineering;https://doi.org/10.1007/978-81-322-3634-4_11
Introduction to Civil and Environmental Engineering Design I;Introduction;2015;Springer Transactions in Civil and Environmental Engineering;https://doi.org/10.1007/978-81-322-2322-1_1
Introduction to Civil and Environmental Engineering Design I;Introduction;2017;Springer Transactions in Civil and Environmental Engineering;https://doi.org/10.1007/978-81-322-3634-4_1
Introduction to Civil and Environmental Engineering Design I;MODELS AND DESIGN IN ENGINEERING;1999;Civil Engineering and Environmental Systems;https://doi.org/10.1080/02630259908970248
Introduction to Civil and Environmental Engineering Design I;INTRODUCTION;2011;European Journal of Environmental and Civil Engineering;https://doi.org/10.1080/19648189.2011.9695301
Civil Engineering Materials Laboratory;PRECISION CONTROL METHOD FOR PRE-STRESSING CONSTRUCTION OF SUSPEN-DOME STRUCTURES;2014;Volume 10 Number 4;https://doi.org/10.18057/ijasc.2014.10.4.3
Civil Engineering Materials Laboratory;Impact of industrial waste fillers in self-compacting mortars A comparative analysis of mechanical performance;2025;Research on Engineering Structures and Materials;https://doi.org/10.17515/resm2025-978me0718rs
Civil Engineering Materials Laboratory;Laboratory Testing;2020;Civil Engineering Materials;https://doi.org/10.1201/9780429275111-13
Civil Engineering Materials Laboratory;Civil Engineering Materials;2020; ;https://doi.org/10.1201/9780429275111
Civil Engineering Materials Laboratory;Sustainability in Materials;2020;Civil Engineering Materials;https://doi.org/10.1201/9780429275111-12
Solid Mechanics Laboratory;Innovation In Solid Mechanics Laboratory; ;2003 Annual Conference Proceedings;https://doi.org/10.18260/1-2--11939
Solid Mechanics Laboratory;19. Interaction of Concentrated Electron Beams with a Solid Body;2016;Physical Mechanics Laboratory Workshops;https://doi.org/10.1615/978-1-56700-310-9.280
Solid Mechanics Laboratory;Review of research solid mechanics laboratory for 2020–2022;2022;Multiphase Systems;https://doi.org/10.21662/mfs2022.1.006
Solid Mechanics Laboratory;Research Needs in Solid Waste Mechanics;2011;Geotechnical Characterization Field Measurement and Laboratory Testing of Municipal Solid Waste;https://doi.org/10.1061/41146(395)12
Solid Mechanics Laboratory;NUMERICAL MODELING OF FLOW NATURAL CONVECTION IN A THERMOSIPHON: THERMAL PANACHE.;2018;International Journal of Advanced Research;https://doi.org/10.21474/ijar01/6655
Foundations of Software Engineering;ENGINEERING FOUNDATIONS OF SOFTWARE ENGINEERING;2007;Software Engineering Foundations;https://doi.org/10.1201/9780203496091-18
Foundations of Software Engineering;COMPUTING FOUNDATIONS OF SOFTWARE ENGINEERING;2007;Software Engineering Foundations;https://doi.org/10.1201/9780203496091-14
Foundations of Software Engineering;ECONOMICS FOUNDATIONS OF SOFTWARE ENGINEERING;2007;Software Engineering Foundations;https://doi.org/10.1201/9780203496091-22
Foundations of Software Engineering;PHILOSOPHICAL FOUNDATIONS OF SOFTWARE ENGINEERING;2007;Software Engineering Foundations;https://doi.org/10.1201/9780203496091-12
Foundations of Software Engineering;LINGUISTIC FOUNDATIONS OF SOFTWARE ENGINEERING;2007;Software Engineering Foundations;https://doi.org/10.1201/9780203496091-15
Masters of Engineering Concepts of Engineering Practice;Time concepts in real-time software;1993;Control Engineering Practice;https://doi.org/10.1016/0967-0661(93)92120-s
Masters of Engineering Concepts of Engineering Practice;031 Adaptive vs robust control: Information based concepts;1993;Control Engineering Practice;https://doi.org/10.1016/0967-0661(93)90050-2
Masters of Engineering Concepts of Engineering Practice;Time concepts in real-time software;1993;Control Engineering Practice;https://doi.org/10.1016/0967-0661(93)92099-p
Masters of Engineering Concepts of Engineering Practice;DREAMS — concepts of a istributed -time anagement ystem;1996;Control Engineering Practice;https://doi.org/10.1016/0967-0661(96)00156-6
Masters of Engineering Concepts of Engineering Practice;‘Neural networks and intellect-using model based concepts’;2005;Control Engineering Practice;https://doi.org/10.1016/j.conengprac.2004.05.004
Probability and Statistics in Engineering;Probability and Statistics (Descriptive Statistics);2018;Engineering Modelling and Analysis;https://doi.org/10.1201/9781315274867-26
Probability and Statistics in Engineering;GS_121 — Uncertainty statistics and probability (2);2011;Applications of Statistics and Probability in Civil Engineering;https://doi.org/10.1201/b11332-434
Probability and Statistics in Engineering;GS_111 — Uncertainty statistics and probability (1);2011;Applications of Statistics and Probability in Civil Engineering;https://doi.org/10.1201/b11332-428
Introduction to Transportation Systems;Introduction to Transportation Systems;2008;Transportation Systems Security;https://doi.org/10.1201/9781420063790-6
Introduction to Transportation Systems;Introduction To Transportation Systems;2008;Transportation Systems Security;https://doi.org/10.1201/9781420063790.ch1
Introduction to Transportation Systems;Introduction: Introduction;2001;Air Transportation Systems Engineering;https://doi.org/10.2514/5.9781600866630.0001.0006
Transportation Systems Analysis: Demand and Economics;Transportation Demand Analysis;1996;Transportation Systems and Service Policy;https://doi.org/10.1007/978-1-4615-4076-2_2
Transportation Systems Analysis: Demand and Economics;I. The Economics of Transportation;1968;India’S Demand for Transportation;https://doi.org/10.7312/weld91568-003
Transportation Systems Analysis: Demand and Economics;The Demand for Transportation;2015;Concepts of Transportation Economics;https://doi.org/10.1142/9789814656177_0002
Transportation Systems Analysis: Demand and Economics;Utility maximisation demand systems and functional form in transport demand analysis;1979;Transportation Planning and Technology;https://doi.org/10.1080/03081067908717168
Transportation Systems Analysis: Demand and Economics;How does the ride-hailing systems demand affect individual transport regulation?;2018;Research in Transportation Economics;https://doi.org/10.1016/j.retrec.2018.06.010
Logistical and Transportation Planning Methods;Freight Transportation Planning: Models and Methods;2002;Transportation Systems Planning;https://doi.org/10.1201/9781420042283-9
Logistical and Transportation Planning Methods;The accuracy in estimating truck class rates for logistical planning;1991;Transportation Research Part A: General;https://doi.org/10.1016/0191-2607(91)90011-e
Logistical and Transportation Planning Methods;Transportation Systems Planning;2002;Transportation Systems Planning;https://doi.org/10.1201/9781420042283-6
Logistical and Transportation Planning Methods;Dynamic optimization model for planning of integrated logistical system functioning;2023;Dynamic optimization model for planning of integrated logistical system functioning;https://doi.org/10.31375/978-966-7716-92-9-48-58
Logistical and Transportation Planning Methods;Spatial Behavior in Transportation Modeling and Planning;2002;Transportation Systems Planning;https://doi.org/10.1201/9781420042283-8
Computer Algorithms in Systems Engineering;Engineering of Computer Vision Algorithms Using Evolutionary Algorithms;2009;Lecture Notes in Computer Science;https://doi.org/10.1007/978-3-642-04697-1_34
Computer Algorithms in Systems Engineering;Approximation Algorithms for Process Systems Engineering;2018;Computer Aided Chemical Engineering;https://doi.org/10.1016/b978-0-444-64235-6.50101-7
Computer Algorithms in Systems Engineering;Attack Detection Using Unsupervised Learning Algorithms in Cyber-Physical Systems;2021;Computer Aided Chemical Engineering;https://doi.org/10.1016/b978-0-323-88506-5.50194-7
Computer Algorithms in Systems Engineering;Enhancing Tumor Classification Through Machine Learning Algorithms for Breast Cancer Diagnosis;2024;Computer Engineering and Intelligent Systems;https://doi.org/10.7176/ceis/15-1-08
Computer Algorithms in Systems Engineering;Hardware algorithms for VLSI systems; ;Lecture Notes in Computer Science;https://doi.org/10.1007/bfb0043450
Airline Schedule Planning;Airline Schedule Planning Decisions;2018;Airline Network Planning and Scheduling;https://doi.org/10.1002/9781119275909.ch3
Airline Schedule Planning;Schedule Robustness;2018;Airline Network Planning and Scheduling;https://doi.org/10.1002/9781119275909.ch21
Airline Schedule Planning;The Schedule Adjustment Problem;2018;Airline Network Planning and Scheduling;https://doi.org/10.1002/9781119275909.ch14
Airline Schedule Planning;Examples on the Schedule Adjustment Problem;2018;Airline Network Planning and Scheduling;https://doi.org/10.1002/9781119275909.ch15
Airline Schedule Planning;`Airline Operations and Delay Management Insights from Airline Economics Networks and Strategic Schedule Planning` by Cheng-Lung Wu;2010;Journal of Airport Management;https://doi.org/10.69554/szoo6424
An Introduction to Intelligent Transportation Systems;Introduction to Intelligent Transportation Systems;2016;Studies in Systems Decision and Control;https://doi.org/10.1007/978-3-319-28183-4_1
An Introduction to Intelligent Transportation Systems;INTRODUCTION;2008;Transportation Infrastructure Security Utilizing Intelligent Transportation Systems;https://doi.org/10.1002/9780470432853.ch1
An Introduction to Intelligent Transportation Systems;Connected and automated vehicle systems: Introduction and overview;2017;Journal of Intelligent Transportation Systems;https://doi.org/10.1080/15472450.2017.1336053
An Introduction to Intelligent Transportation Systems;Introduction;2019;Sensor and Data Fusion for Intelligent Transportation Systems;https://doi.org/10.1117/3.2525400.ch1
Transportation Systems;Introduction to Transportation Systems;2008;Transportation Systems Security;https://doi.org/10.1201/9781420063790-6
Transportation Systems;Transportation Systems Planning;2002;Transportation Systems Planning;https://doi.org/10.1201/9781420042283-6
Transportation Systems;Microwave Beamforming Networks for Intelligent Transportation Systems;2012;Intelligent Transportation Systems;https://doi.org/10.5772/26180
Transportation Systems;Public Transportation Systems for Urban Planners and Designers: The Urban Morphology of Public Transportation Systems;2013;Urban Public Transportation Systems 2013;https://doi.org/10.1061/9780784413210.008
Transportation Systems;Standardisation of maglev transportation systems in Russia;2018;Transportation Systems and Technology;https://doi.org/10.17816/transsyst20184432-43
Transportation Policy Strategy and Management;National transportation policy: Effective strategy or political symbolism? A case study in maritime policy development; ;Transportation Research Part A: Policy and Practice;https://doi.org/10.1016/0965-8564(96)81127-x
Transportation Policy Strategy and Management;Can a strategy of integrated air-bus services create a value proposition for regional aviation management?; ;Transportation Research Part A: Policy and Practice;https://doi.org/10.1016/j.tra.2019.12.013
Transportation Policy Strategy and Management;Determining the factors affecting transportation demand management and selecting the best strategy: A case study; ;Transport Policy;https://doi.org/10.1016/j.tranpol.2023.11.003
Transportation Policy Strategy and Management;A State Cooperative Automated Transportation Strategy: Linking Policy and Deployment; ;https://doi.org/10.26226/m.63283143f30377bc3baf7c40;
Carrier Systems;Basic Principles of Multi-Carrier Communication Systems;2016;Multi-Carrier Communication Systems with Examples in MATLAB;https://doi.org/10.1201/b19273-8
