raw_topic,concept_name
Architecture,Architecture
Biology,Biology
Business,Business management
Chemistry,Chemistry
Civil Engineering,Civil engineering
Computational Modeling and Simulation,Computational simulation
Computer Science,Computer science
Construction Management,Construction management
Earth Science,Earth science
Economics,Economics economics
Energy,Energy energy
Engineering,Engineering engineering
Environmental Engineering,Environmental engineering
Fine Arts,Fine arts
Fluid Mechanics,Fluid mechanics
Globalization,Globalization globalization
Hydrology and Water Resource Systems,Hydrology systems
Information Technology,Information technology
Materials Science and Engineering,Materials engineering
Mathematics,Mathematics mathematics
Mechanical Design,Mechanical design
Mechanical Engineering,Mechanical engineering
Operations Management,Operations management
Physics,Physics physics
Probability and Statistics,Probability statistics
Public Administration,Public administration
Science,Science science
Social Science,Social science
Software Design and Engineering,Software engineering
Structural Engineering,Structural engineering
Supply Chain Management,Supply management
Systems Engineering,Systems engineering
Transport Processes,Transport processes
Transportation Planning,Transportation planning
Urban Studies,Urban studies
